experiment_id,session_id,timestamp,distance_km,n_qubits,intercepted,interceptor_label,status,success,error_message,elapsed_s,n_delivered,n_sifted,key_len,qber,qber_pct,delivery_rate,sift_rate,key_rate,ansys_T,ansys_loss_db,delivery_vs_ansys_T,ou_floor_pct,dark_floor_pct,physical_floor_pct,channel_type,ansys_csv_loaded,ch_transmission,ch_qber_floor,qber_budget_floor,qber_eve_threshold,det_photon_hits,det_dark_hits,det_missed,det_dead_blocked,ou_current_theta_rad,ou_session_qber_est,ou_n_steps
E1_distance_sweep,c85e28ee-93d4-4559-b2a8-a0718145259e,2026-06-02T21:54:56.858083,0.0,2000,False,,done,True,,406.38,2000,985,788,0.0,0.0,1.0,0.4925,0.394,1.0,-0.0,1.0,0.062487,0.005882,0.068369,StatisticalChannel,False,1.0,0.0,0.0,0.11,0,0,0,0,0.0,0.0,0
E1_distance_sweep,e51318c9-3acc-4dcd-9ac8-dc8ab7c1e875,2026-06-02T21:55:53.847337,10.0,2000,False,,done,True,,53.899,203,110,88,0.0,0.0,0.1015,0.541872,0.044,0.630957,2.0,0.1609,0.249792,0.009321,0.259113,FiberChannel,True,0.630957,9.321e-05,9.321e-05,0.109907,0,0,0,0,0.0,0.0,0
E1_distance_sweep,90f91f9f-e8e8-46b1-905e-116d14494501,2026-06-02T21:56:49.291961,20.0,2000,False,,done,True,,51.166,197,98,79,0.052632,5.2632,0.0985,0.497462,0.0395,0.398107,4.0,0.2474,0.561446,0.014771,0.576218,FiberChannel,True,0.398107,0.00014771,0.00014771,0.109852,0,0,0,0,0.0,0.0,0
E1_distance_sweep,cb299e4b-be8c-4f76-b773-e2c9766dcf0c,2026-06-02T21:57:43.286536,30.0,2000,False,,done,True,,49.466,190,104,84,0.0,0.0,0.095,0.547368,0.042,0.251189,6.0,0.3782,0.996671,0.023407,1.020078,FiberChannel,True,0.251189,0.00023407,0.00023407,0.109766,0,0,0,0,0.0,0.0,0
E1_distance_sweep,b4826d05-98d6-4d73-bbea-501e76effb35,2026-06-02T21:58:28.144735,40.0,2000,False,,done,True,,41.468,150,75,60,0.0,0.0,0.075,0.5,0.03,0.158489,8.0,0.4732,1.554379,0.037088,1.591467,FiberChannel,True,0.158489,0.00037088,0.00037088,0.109629,0,0,0,0,0.0,0.0,0
E1_distance_sweep,2ead194c-9f26-4e12-821a-5b0c6ca8fb2b,2026-06-02T21:59:06.804749,50.0,2000,False,,done,True,,34.594,116,48,39,0.0,0.0,0.058,0.413793,0.0195,0.1,10.0,0.58,2.233176,0.058754,2.29193,FiberChannel,True,0.1,0.00058754,0.00058754,0.109412,0,0,0,0,0.0,0.0,0
E1_distance_sweep,e0ee4475-3547-4d93-beb3-5013c1d88d0d,2026-06-02T21:59:39.313211,60.0,2000,False,,done,True,,28.026,84,44,36,0.0,0.0,0.042,0.52381,0.018,0.063096,12.0,0.6657,3.031364,0.093056,3.12442,FiberChannel,True,0.063096,0.00093056,0.00093056,0.109069,0,0,0,0,0.0,0.0,0
E1_distance_sweep,8f2fe1e8-2d95-4b62-b230-266cddcebf96,2026-06-02T22:00:05.766128,70.0,2000,False,,done,True,,22.355,56,24,20,0.0,0.0,0.028,0.428571,0.01,0.039811,14.0,0.7033,3.94695,0.147323,4.094273,FiberChannel,True,0.039811,0.00147323,0.00147323,0.108527,0,0,0,0,0.0,0.0,0
E1_distance_sweep,f88df965-701f-49f5-b964-b68643b1954d,2026-06-02T22:00:27.590826,80.0,2000,False,,done,True,,17.825,33,16,13,0.0,0.0,0.0165,0.484848,0.0065,0.025119,16.0,0.6569,4.977645,0.233089,5.210734,FiberChannel,True,0.025119,0.00233089,0.00233089,0.107669,0,0,0,0,0.0,0.0,0
E2_nqubits_vs_distance,bb6ad80e-dddd-4c90-bfed-0a8932583313,2026-06-02T22:00:47.923295,10.0,200,False,,aborted,False,INSUFFICIENT_BITS,16.204,25,0,0,1.0,100.0,0.125,0.0,0.0,0.630957,2.0,0.1981,0.249792,0.009321,0.259113,FiberChannel,True,0.630957,9.321e-05,9.321e-05,0.109907,0,0,0,0,0.0,0.0,0
