pair,alice_label,bob_label,qkdl_url,session_id,start_error,status,n_qubits,n_delivered,n_sifted,qber,key_len,elapsed_s,error_message,intercepted
1,alice-1,bob-1,http://localhost:8003,b767d740-a0ae-4730-8c7e-9a731eae0f21,,done,1024,1024,498,0.010101,399,281.183,,False
2,alice-2,bob-2,http://localhost:8013,0fda51ef-7270-47b1-b96a-06b5348955ff,,done,1024,1024,531,0.028302,425,280.934,,False
3,alice-3,bob-3,http://localhost:8023,d92c1fb7-26f4-4426-98ac-dc9d485be464,,done,1024,1024,502,0.0,402,281.195,,False
4,alice-4,bob-4,http://localhost:8033,6f70d0b8-d0ca-424b-abe8-a7899b2436e0,,done,1024,1024,508,0.0,407,279.291,,False
5,alice-5,bob-5,http://localhost:8043,43bc9856-39f1-4b10-96aa-80e256ef87f9,,done,1024,1024,524,0.0,420,279.197,,False
6,alice-6,bob-6,http://localhost:8053,602f921a-3947-4b5e-8c8b-8509b1631f50,,done,1024,1024,515,0.029126,412,281.204,,False
7,alice-7,bob-7,http://localhost:8063,48c283c7-687c-4979-9174-7e2e776e499c,,done,1024,1024,527,0.009524,422,279.006,,False
8,alice-8,bob-8,http://localhost:8073,69caaa35-da96-4b07-91c1-28ac3d6f0f26,,done,1024,1024,520,0.019231,416,280.774,,False
9,alice-9,bob-9,http://localhost:9003,1b39b107-f7a8-4d22-9473-ec0c6fc7861d,,done,1024,1024,525,0.009524,420,282.075,,False
10,alice-10,bob-10,http://localhost:9013,2bec5301-0b4c-40a1-a97a-9619980d20ac,,done,1024,1024,502,0.0,402,281.671,,False
11,alice-11,bob-11,http://localhost:9023,3a64addb-a8d5-4dc3-aed7-a68225af7d0a,,done,1024,1024,518,0.0,415,280.786,,False
12,alice-12,bob-12,http://localhost:9033,7497cf8c-e8a9-4fd1-a561-e2e0cdd1d5f7,,done,1024,1024,511,0.0,409,278.338,,False
13,alice-13,bob-13,http://localhost:9043,1ab96542-b697-4d95-8d10-2240481ce615,,done,1024,1024,491,0.0,393,281.31,,False
14,alice-14,bob-14,http://localhost:9053,e777b5cc-0b5b-4e9d-afee-23224c02267d,,done,1024,1024,518,0.009709,415,280.884,,False
15,alice-15,bob-15,http://localhost:9063,c303ab4f-0bc7-4f00-9a20-604ce371d529,,done,1024,1024,508,0.009901,407,280.185,,False
16,alice-16,bob-16,http://localhost:9073,4e6b7a23-11e3-4eca-a075-3b649554fd59,,done,1024,1024,529,0.0,424,281.379,,False
17,alice-17,bob-17,http://localhost:9083,9db8288d-8552-4071-aa67-bd68342e4d46,,done,1024,1024,498,0.010101,399,281.506,,False
18,alice-18,bob-18,http://localhost:9093,d1857a49-dbb6-4ecd-ba14-fe6143e0dea9,,done,1024,1024,519,0.009709,416,281.434,,False
19,alice-19,bob-19,http://localhost:9103,e10c1e88-ddec-47d6-81ea-3825eac5c7e9,,done,1024,1024,499,0.010101,400,280.395,,False
