pair,alice_label,bob_label,qkdl_url,session_id,start_error,status,n_qubits,n_delivered,n_sifted,qber,key_len,elapsed_s,error_message,intercepted
1,alice-1,bob-1,http://localhost:8003,43ac6e26-c4ce-48c5-898e-e1ce3764538f,,done,1024,1024,492,0.0,394,218.93,,False
2,alice-2,bob-2,http://localhost:8013,b55be991-2583-480f-a489-8e33f71ff4cc,,done,1024,1024,498,0.0,399,218.714,,False
3,alice-3,bob-3,http://localhost:8023,6453cfc3-a942-4474-b9f4-b0b7b86a6e7c,,done,1024,1024,495,0.0,396,219.049,,False
4,alice-4,bob-4,http://localhost:8033,edc33220-6c8f-43b1-b00f-a15cdb7a7137,,done,1024,1024,528,0.0,423,218.902,,False
5,alice-5,bob-5,http://localhost:8043,feb84808-ef2f-4189-be3e-ccf0d3810776,,done,1024,1024,518,0.0,415,219.272,,False
6,alice-6,bob-6,http://localhost:8053,137e53cc-a516-4150-bbac-af1935845207,,done,1024,1024,491,0.0,393,219.462,,False
7,alice-7,bob-7,http://localhost:8063,8e24d8f8-7b18-4e75-bab0-73289d71241a,,done,1024,1024,489,0.0,392,218.844,,False
8,alice-8,bob-8,http://localhost:8073,da9bcb6f-c6b1-4130-ba38-54f88cb7ebd7,,done,1024,1024,533,0.0,427,219.253,,False
9,alice-9,bob-9,http://localhost:9003,b2d4bc1b-b1e4-4013-8764-986647998b8c,,done,1024,1024,493,0.0,395,219.225,,False
10,alice-10,bob-10,http://localhost:9013,8b4216dc-6b3c-403e-b6c6-1ae878616f46,,done,1024,1024,504,0.01,404,218.812,,False
11,alice-11,bob-11,http://localhost:9023,dc6d5e61-1576-4d50-a4b2-7512fa927ad9,,done,1024,1024,491,0.0,393,218.805,,False
12,alice-12,bob-12,http://localhost:9033,a3f6d30d-33bb-4d99-a6b3-3bc5b6404c6d,,done,1024,1024,487,0.0,390,219.006,,False
13,alice-13,bob-13,http://localhost:9043,942ebf7c-d89d-4470-bd81-1956b04db677,,done,1024,1024,503,0.0,403,218.29,,False
14,alice-14,bob-14,http://localhost:9053,8736a5d0-40db-4efc-a2f4-32cbb07f5c7a,,done,1024,1024,497,0.0,398,218.331,,False
15,alice-15,bob-15,http://localhost:9063,2576d7e3-4851-4b5a-8195-280ebb6d04e6,,done,1024,1024,517,0.0,414,218.476,,False
16,alice-16,bob-16,http://localhost:9073,f6cd6be7-29ac-491e-83a6-50388925c8c9,,done,1024,1024,492,0.0,394,218.896,,False
17,alice-17,bob-17,http://localhost:9083,22da9538-9696-4116-9ef9-cc0a265ec7d8,,done,1024,1024,509,0.0,408,218.958,,False
18,alice-18,bob-18,http://localhost:9093,c1df5d3f-bbec-4205-98b3-cab8c671e595,,done,1024,1024,526,0.0,421,218.933,,False
19,alice-19,bob-19,http://localhost:9103,b7c9f136-b502-471c-8a7f-cd2908d896ac,,done,1024,1024,527,0.0,422,218.915,,False
